Kanun Teklifi Sayısı;Genel Görüşme Önergesi Sayısı;İsim;Parti;Soru Önergesi Sayısı;Araştırma Önergesi Sayısı;Genel Kurul Konuşma Sayısı
4;0;Muhammet Emin AKBAŞOĞLU;AK Parti;0;1;585
5;0;Cahit ÖZKAN;AK Parti;0;2;532
5;0;Bülent TURAN;AK Parti;0;1;376
2;0;Ayşe Sibel ERSOY;MHP;6;137;75
3;2;Kemal PEKÖZ;HDP;170;494;52
45;0;Ali Cumhur TAŞKIN;AK Parti;0;10;321
11;0;Özlem ZENGİN;AK Parti;0;3;321
31;0;İlyas ŞEKER;AK Parti;1;4;197
39;1;İsmail KONCUK;ZAFER P;553;225;106
83;10;Özgür ÖZEL;CHP;281;78;977
2;2;Tulay HATIMOĞULLARI ORUÇ;HDP;362;560;94
1;0;Muharrem VARLI;MHP;0;146;13
58;7;Engin ALTAY;CHP;16;37;544
15;0;Hacı ÖZKAN;AK Parti;0;1;180
6;1;Behiç ÇELİK;İYİ Parti;148;362;113
59;7;Engin ÖZKOÇ;CHP;74;48;410
458;13;Mahmut TANAL;CHP;1786;1483;264
415;19;Ömer Fethi GÜRER;CHP;3781;1719;250
12;4;Okan GAYTANCIOĞLU;CHP;192;450;240
108;0;Mehmet Ali ÇELEBİ;MEMLEKET P;1585;479;108
1;3;Hasan ÖZGÜNEŞ;HDP;113;559;36
54;0;Mücahit DURMUŞOĞLU;AK Parti;0;8;163
1;0;Süreyya Sadi BİLGİÇ;AK Parti;0;1;155
2;0;Mustafa ELİTAŞ;AK Parti;0;0;102
46;9;Ayhan BARUT;CHP;305;1408;186
25;0;Mustafa Levent KARAHOCAGİL;AK Parti;0;2;91
2;0;İbrahim Ethem SEDEF;MHP;29;118;15
4;0;Mehmet Naci BOSTANCI;AK Parti;0;0;89
28;0;Mustafa DEMİR;AK Parti;0;4;78
43;0;Semiha EKİNCİ;AK Parti;0;6;74
0;0;Sezai TEMELLİ;HDP;0;0;5
4;1;Özcan ÖZEL;MEMLEKET P;15;290;19
30;0;İsmail GÜNEŞ;AK Parti;0;8;73
9;8;Orhan SÜMER;CHP;115;739;185
